x,y
0,-64.9691
0.49321,-63.3691
0.98643,-65.7691
1.47964,-62.9691
1.97285,-61.7691
2.46607,-62.1691
2.95928,-64.1691
3.45249,-63.7691
3.94571,-65.7691
4.43892,-66.9691
4.93213,-65.3691
5.42535,-63.7691
5.91856,-66.5691
6.41177,-67.7691
6.90499,-66.5691
7.3982,-66.1691
7.89141,-67.3691
8.38462,-67.7691
8.87783,-68.5691
9.37104,-71.7691
9.86425,-71.7691
10.35746,-70.5691
10.85067,-70.5691
11.34388,-69.7691
11.83709,-68.5691
12.3303,-69.7691
12.82351,-70.5691
13.31672,-73.7691
13.80993,-79.7691
14.30314,-72.9691
14.79635,-70.5691
15.28956,-70.5691
15.78277,-72.1691
16.27598,-71.7691
16.76919,-71.7691
17.2624,-72.9691
17.75561,-73.7691
18.24882,-72.1691
18.74203,-71.7691
19.23524,-72.9691
19.72845,-71.7691
20.22166,-70.9691
20.71487,-70.9691
21.20808,-72.9691
21.70129,-72.9691
22.1945,-72.9691
22.68771,-75.7691
23.18092,-75.7691
23.67413,-72.9691
24.16734,-71.3691
24.66055,-70.9691
25.15376,-72.1691
25.64697,-72.1691
26.14018,-72.9691
26.63339,-72.9691
27.1266,-71.3691
27.61981,-71.3691
28.11302,-71.3691
28.60623,-68.9691
29.09944,-68.9691
29.59265,-70.1691
30.08586,-69.7691
30.57907,-69.7691
31.07228,-68.5691
31.56549,-71.3691
32.0587,-71.3691
32.55191,-69.7691
33.04512,-69.7691
33.53833,-69.3691
34.03154,-68.1691
34.52475,-68.9691
35.01796,-68.9691
35.51117,-69.7691
36.00438,-68.9691
36.49759,-67.7691
36.9908,-67.7691
37.48401,-66.9691
37.97722,-69.3691
38.47043,-69.7691
38.96364,-71.3691
39.45685,-71.7691
39.95006,-71.7691
40.44327,-72.9691
40.93648,-73.7691
41.42969,-75.7691
41.9229,-79.7691
42.41611,-80.9691
42.90932,-80.9691
43.40253,-79.7691
43.89574,-74.5691
44.38895,-80.9691
44.88216,-80.9691
45.37537,-80.9691
45.86858,-80.9691
46.36179,-80.9691
46.855,-79.7691
47.34821,-80.9691
47.84142,-80.9691
48.33463,-79.7691
48.82784,-80.9691
49.32105,-80.9691
49.81426,-80.9691
50.30747,-79.7691
50.80068,-80.9691
51.29389,-80.9691
51.7871,-80.9691
52.28031,-80.9691
52.77352,-80.9691
53.26673,-80.9691
53.75994,-79.7691
54.25315,-80.9691
54.74636,-80.9691
55.23957,-80.9691
55.73278,-80.9691
56.22599,-79.7691
56.7192,-80.9691
57.21241,-80.9691
57.70562,-80.9691
58.19883,-80.9691
58.69204,-76.9691
59.18525,-69.7691
59.67846,-72.9691
60.17167,-80.9691
60.66488,-79.7691
61.15809,-80.9691
61.6513,-80.9691
62.14451,-80.9691
62.63772,-80.9691
63.13093,-80.9691
63.62414,-80.9691
64.11735,-80.9691
64.61056,-80.9691
65.10377,-79.7691
65.59698,-80.9691
66.09019,-80.9691
66.5834,-80.9691
67.07661,-80.9691
67.56982,-80.9691
68.06303,-80.9691
68.55624,-80.9691
69.04945,-79.7691
69.54266,-77.7691
70.03587,-79.7691
70.52908,-77.3691
71.02229,-80.9691
71.5155,-80.9691
72.00871,-80.9691
72.50192,-80.9691
72.99513,-80.9691
73.48834,-80.9691
73.98155,-80.9691
74.47476,-80.9691
74.96797,-79.7691
75.46118,-80.9691
75.95439,-80.9691
76.4476,-80.9691
76.94081,-80.9691
77.43402,-80.9691
77.92723,-80.9691
78.42044,-80.9691
78.91365,-80.9691
79.40686,-80.9691
79.90007,-80.9691
80.39328,-80.9691
80.88649,-80.9691
81.3797,-80.9691
