Intensity,std_Intensity,Numelectron,std_Numelectron,fitted
2.921656638,0.163881094,43.36209181,20.54631572,44.36298587
3.90321953,0.160882134,62.77287001,19.77654773,62.40931754
4.492953434,0.181041205,88.50103746,19.51920483,73.66427641
5.363052637,0.265200307,92.70400583,19.57635478,90.75036061
6.397503912,0.258678738,111.9271719,19.62761406,111.7140819
7.316510652,0.284096379,131.7488435,19.34521569,130.8572507
8.143104895,0.251320816,151.1694053,17.56630395,148.4480244
9.529292351,0.300555355,171.8382956,18.85508731,178.6573377
11.09888307,0.415087135,201.6495188,20.03554423,213.8204951
12.110871,0.38978557,232.6461437,18.78635431,236.9758356
13.66453834,0.499146474,256.6582263,19.91203309,273.1948376
15.11555671,0.473246644,286.8593929,20.5297796,307.6935877
16.46222005,0.446379254,300.4672303,19.663291,340.2459581
17.38577633,0.576160371,335.8906952,18.38347857,362.8494607
17.93143658,0.518316773,359.2983016,17.41877771,376.3059313
19.35202992,0.488127346,395.6682659,18.8910164,411.6781429
20.39046204,0.419765605,415.4690583,15.88963142,437.8314029
21.62423997,0.319579768,468.9704759,19.70445278,469.2140223
22.00583249,0.392273413,509.7150591,25.86187319,478.9860015
23.30301961,0.329183198,594.4360951,24.54238533,512.4287361
37.32103437,2.188268149,909.8071991,40.34378087,892.5944164
38.97412726,2.410317051,1090.544524,108.1596194,939.3638799
42.1437532,2.743494353,1025.190176,98.93983641,1030.022568
